Race,,Dist,1000,Time,04:39.9
Split,Time,Secs,Vel,SR,
25,6.59,6.59,3.8,79.1,
50,13.46,6.87,3.64,73.28,
75,20.36,6.91,3.62,75,
100,27.27,6.91,3.62,75.95,
125,34.16,6.89,3.63,76.92,
150,41.08,6.92,3.61,76.09,
175,47.97,6.88,3.63,76.07,
200,54.84,6.87,3.64,77.8,
225,01:01.8,6.92,3.61,74.88,
250,01:08.7,6.9,3.62,78.3,
275,01:15.6,6.92,3.61,76.56,
300,01:22.5,6.96,3.59,76.09,
325,01:29.5,6.92,3.61,77.29,
350,01:36.2,6.78,3.69,76.92,
375,01:43.1,6.85,3.65,75.95,
400,01:50.0,6.97,3.59,76.19,
425,01:57.1,7.02,3.56,77.29,
450,02:04.1,7.03,3.56,74.47,
475,02:11.1,6.96,3.59,75.83,
500,02:18.1,7.02,3.56,74.88,
525,02:25.1,7,3.57,75.83,
550,02:32.1,6.99,3.58,75,
575,02:39.1,7.03,3.56,75.54,
600,02:46.1,7.03,3.55,74.3,
625,02:53.1,6.99,3.57,76.19,
650,03:00.2,7.05,3.55,75.12,
675,03:07.3,7.17,3.49,74.53,
700,03:14.4,7.06,3.54,75.83,
725,03:21.4,6.95,3.6,74.87,
750,03:28.4,7.01,3.57,77.05,
775,03:35.3,6.94,3.6,76.07,
800,03:42.2,6.92,3.61,77.29,
825,03:49.2,6.99,3.58,75.24,
850,03:56.1,6.86,3.64,75.81,
875,04:03.0,6.98,3.58,74.07,
900,04:10.1,7.08,3.53,76.07,
925,04:17.2,7.11,3.52,76.68,
950,04:24.3,7.07,3.53,78.56,
975,04:31.3,7.03,3.55,78.03,
1000,04:39.9,8.53,2.93,75,
Av,,7,3.58,76.05,
