Race,,Dist,1000,Time,04:45.1
Split,Time,Secs,Vel,SR,
25,6.3,6.3,3.97,89.4,
50,12.65,6.35,3.94,87.75,
75,19.25,6.6,3.79,86.96,
100,25.81,6.56,3.81,86.33,
125,32.58,6.77,3.69,85.17,
150,39.38,6.8,3.68,84.21,
175,46.24,6.86,3.64,84.77,
200,53.15,6.9,3.62,84.38,
225,01:00.1,6.98,3.58,80,
250,01:07.4,7.22,3.46,79.76,
275,01:14.5,7.15,3.49,80,
300,01:21.6,7.13,3.51,80.6,
325,01:28.8,7.14,3.5,81.22,
350,01:36.0,7.18,3.48,80.6,
375,01:43.2,7.22,3.46,80.48,
400,01:50.4,7.24,3.45,80.94,
425,01:57.6,7.22,3.46,80.6,
450,02:04.9,7.26,3.44,80.6,
475,02:12.1,7.22,3.46,80.24,
500,02:19.3,7.23,3.46,80.54,
525,02:26.6,7.3,3.42,80.96,
550,02:33.9,7.26,3.45,81.2,
575,02:41.1,7.17,3.49,82.57,
600,02:48.4,7.29,3.43,82.44,
625,02:55.6,7.27,3.44,81.82,
650,03:02.9,7.25,3.45,81.82,
675,03:10.2,7.31,3.42,83.08,
700,03:17.3,7.14,3.5,83.98,
725,03:24.4,7.06,3.54,84.11,
750,03:31.5,7.08,3.53,84.91,
775,03:38.6,7.16,3.49,84.91,
800,03:45.7,7.08,3.53,85.58,
825,03:52.7,7.03,3.56,85.71,
850,03:59.8,7.06,3.54,85.44,
875,04:06.8,7.04,3.55,86.54,
900,04:13.9,7.08,3.53,87.72,
925,04:21.0,7.09,3.52,87.95,
950,04:28.0,7,3.57,87.95,
975,04:35.0,7.04,3.55,86.82,
1000,04:45.1,10.07,2.48,83.33,
Av,,7.13,3.52,83.58,
