Race,,Dist,1000,Time,04:55.6
Split,Time,Secs,Vel,SR,
25,7.17,7.17,3.49,67.31,
50,14.26,7.09,3.52,68.52,
75,21.58,7.32,3.42,65.73,
100,28.87,7.29,3.43,67.8,
125,36.14,7.27,3.44,62.39,
150,43.49,7.35,3.4,65.73,
175,50.9,7.41,3.37,64.62,
200,58.35,7.45,3.36,64.42,
225,01:05.7,7.38,3.39,63.35,
250,01:13.2,7.41,3.37,65.22,
275,01:20.6,7.42,3.37,63.64,
300,01:28.1,7.49,3.34,58.92,
325,01:35.6,7.56,3.31,59.66,
350,01:43.1,7.46,3.35,60,
375,01:50.6,7.5,3.33,62.69,
400,01:58.1,7.56,3.31,62.31,
425,02:05.4,7.28,3.43,62.72,
450,02:12.9,7.52,3.32,61.67,
475,02:20.5,7.56,3.31,64.32,
500,02:28.0,7.45,3.36,63.35,
525,02:35.4,7.42,3.37,64.02,
550,02:42.8,7.39,3.38,65.93,
575,02:50.2,7.44,3.36,63.16,
600,02:57.6,7.4,3.38,61.76,
625,03:05.1,7.46,3.35,62.28,
650,03:12.5,7.45,3.35,63.54,
675,03:19.8,7.32,3.42,65.22,
700,03:27.2,7.4,3.38,64.12,
725,03:34.7,7.47,3.35,61.67,
750,03:42.2,7.54,3.32,62.07,
775,03:49.6,7.36,3.4,64.32,
800,03:57.0,7.39,3.38,64.71,
825,04:04.4,7.39,3.38,62.59,
850,04:11.7,7.35,3.4,62.69,
875,04:19.0,7.24,3.45,65.42,
900,04:26.3,7.36,3.4,64.32,
925,04:33.6,7.31,3.42,64.32,
950,04:40.9,7.32,3.41,64.98,
975,04:48.3,7.33,3.41,65.32,
1000,04:55.6,7.35,3.4,66.67,
Av,,7.39,3.38,63.84,
