Race,,Dist,1000,Time,04:21.1
Split,Time,Secs,Vel,SR,
25,6.09,6.09,4.1,90.91,
50,12.34,6.25,4,84.81,
75,18.64,6.3,3.97,86.49,
100,25.06,6.42,3.89,85.26,
125,31.59,6.53,3.83,82.33,
150,38.15,6.57,3.81,83.04,
175,44.65,6.5,3.85,84.06,
200,51.23,6.58,3.8,84.51,
225,57.68,6.45,3.88,83.77,
250,01:04.1,6.45,3.87,83.48,
275,01:10.6,6.44,3.88,84.64,
300,01:17.0,6.4,3.91,83.67,
325,01:23.5,6.54,3.82,84.51,
350,01:30.0,6.48,3.86,85.11,
375,01:36.5,6.52,3.83,84.21,
400,01:43.0,6.48,3.86,85.41,
425,01:49.5,6.54,3.82,85.58,
450,01:56.1,6.53,3.83,85.11,
475,02:02.5,6.44,3.88,84.96,
500,02:08.9,6.35,3.94,84.81,
525,02:15.2,6.39,3.91,84.36,
550,02:21.8,6.52,3.83,84.66,
575,02:28.3,6.54,3.82,84.21,
600,02:34.9,6.56,3.81,85.44,
625,02:41.3,6.43,3.89,85.56,
650,02:47.9,6.55,3.82,84.21,
675,02:54.3,6.49,3.85,86.18,
700,03:00.8,6.46,3.87,85.99,
725,03:07.2,6.46,3.87,86.64,
750,03:13.8,6.51,3.84,86.02,
775,03:20.3,6.51,3.84,86.54,
800,03:26.8,6.52,3.83,86.02,
825,03:33.3,6.54,3.82,86.33,
850,03:39.9,6.54,3.82,85.58,
875,03:46.4,6.54,3.83,86.49,
900,03:53.0,6.56,3.81,87.66,
925,03:59.4,6.44,3.88,88.24,
950,04:05.9,6.48,3.86,89.26,
975,04:12.4,6.55,3.82,88.24,
1000,04:21.1,8.68,2.88,87.59,
Av,,6.53,3.84,85.55,
