Race,,Dist,1000,Time,05:03.1
Split,Time,Secs,Vel,SR,
25,7.31,7.31,3.42,68.74,
50,14.74,7.43,3.37,66.48,
75,22.15,7.41,3.37,67.2,
100,29.7,7.54,3.31,65.73,
125,37.25,7.55,3.31,64.81,
150,44.79,7.54,3.31,65.4,
175,52.24,7.45,3.36,65.93,
200,59.72,7.48,3.34,66.46,
225,01:07.2,7.51,3.33,65.12,
250,01:14.8,7.55,3.31,63.54,
275,01:22.3,7.52,3.32,64.52,
300,01:29.8,7.48,3.34,65.93,
325,01:37.3,7.52,3.32,64.62,
350,01:45.0,7.65,3.27,64.52,
375,01:52.6,7.6,3.29,64.69,
400,02:00.0,7.47,3.35,64.52,
425,02:07.5,7.5,3.33,63.54,
450,02:15.1,7.57,3.3,62.59,
475,02:22.6,7.53,3.32,63.35,
500,02:30.2,7.58,3.3,63.35,
525,02:37.7,7.55,3.31,63.54,
550,02:45.3,7.55,3.31,64.81,
575,02:52.9,7.63,3.28,64.12,
600,03:00.5,7.55,3.31,64.62,
625,03:08.0,7.54,3.32,64.62,
650,03:15.5,7.5,3.33,66.39,
675,03:23.1,7.6,3.29,63.25,
700,03:30.7,7.55,3.31,65.73,
725,03:38.1,7.44,3.36,66.25,
750,03:45.6,7.46,3.35,64.22,
775,03:53.1,7.5,3.33,65.73,
800,04:00.4,7.39,3.39,66.88,
825,04:07.8,7.39,3.38,66.57,
850,04:15.3,7.5,3.34,64.91,
875,04:22.8,7.45,3.35,65.02,
900,04:30.3,7.54,3.31,65.22,
925,04:37.9,7.57,3.3,64.62,
950,04:45.5,7.55,3.31,66.85,
975,04:53.1,7.7,3.25,65.63,
1000,05:03.1,9.92,2.52,65.22,
Av,,7.58,3.31,65.13,
