Race,,Dist,1000,Time,04:48.6
Split,Time,Secs,Vel,SR,
25,6.62,6.62,3.78,78.56,
50,13.21,6.59,3.79,75.95,
75,19.81,6.6,3.79,78.82,
100,26.45,6.64,3.77,77.29,
125,33.18,6.74,3.71,77.21,
150,40.04,6.86,3.65,75.71,
175,47,6.96,3.59,76.07,
200,53.94,6.93,3.6,76.07,
225,01:01.0,7.02,3.56,74.87,
250,01:08.1,7.13,3.51,75.24,
275,01:15.2,7.15,3.5,75.24,
300,01:22.3,7.11,3.52,76.56,
325,01:29.5,7.14,3.5,74.65,
350,01:36.6,7.15,3.5,75.95,
375,01:43.9,7.23,3.46,75.83,
400,01:51.0,7.16,3.49,76.06,
425,01:58.2,7.15,3.5,76.07,
450,02:05.3,7.13,3.51,76.8,
475,02:12.4,7.13,3.51,76.31,
500,02:19.6,7.2,3.47,75.35,
525,02:26.8,7.21,3.47,75.71,
550,02:34.0,7.12,3.51,76.07,
575,02:41.1,7.1,3.52,77.17,
600,02:48.2,7.2,3.47,76.92,
625,02:55.4,7.2,3.47,76.56,
650,03:02.7,7.23,3.46,77.36,
675,03:10.0,7.28,3.43,76.92,
700,03:17.2,7.29,3.43,77.14,
725,03:24.5,7.28,3.44,77.42,
750,03:31.7,7.21,3.47,78.05,
775,03:39.0,7.28,3.43,78.15,
800,03:46.3,7.3,3.43,74.65,
825,03:53.6,7.33,3.41,76.07,
850,04:01.0,7.36,3.4,76.92,
875,04:08.4,7.35,3.4,77.17,
900,04:15.6,7.24,3.45,77.8,
925,04:22.8,7.23,3.46,78.15,
950,04:30.1,7.26,3.44,78.95,
975,04:37.4,7.29,3.43,77.25,
1000,04:48.6,11.26,2.22,0,
Av,,7.22,3.49,74.73,
