Race,,Dist,1000,Time,04:25.4
Split,Time,Secs,Vel,SR,
25,6.11,6.11,4.09,90.76,
50,12.23,6.12,4.08,86.07,
75,18.57,6.34,3.95,85.56,
100,25.06,6.49,3.85,85.85,
125,31.5,6.44,3.88,83.33,
150,38.05,6.55,3.82,83.77,
175,44.64,6.6,3.79,83.77,
200,51.16,6.52,3.83,83.48,
225,57.72,6.55,3.82,82.9,
250,01:04.3,6.63,3.77,83.04,
275,01:11.1,6.73,3.71,82.82,
300,01:17.8,6.73,3.71,82.47,
325,01:24.6,6.78,3.69,81.91,
350,01:31.3,6.71,3.73,82.82,
375,01:37.9,6.61,3.78,83.19,
400,01:44.5,6.57,3.81,83.48,
425,01:51.1,6.59,3.79,83.04,
450,01:57.8,6.7,3.73,82.9,
475,02:04.6,6.79,3.68,81.94,
500,02:11.3,6.76,3.7,84.21,
525,02:18.0,6.69,3.74,84.96,
550,02:24.7,6.67,3.75,83.46,
575,02:31.3,6.64,3.77,84.81,
600,02:37.9,6.61,3.78,83.62,
625,02:44.6,6.65,3.76,84.24,
650,02:51.2,6.62,3.78,85.87,
675,02:57.7,6.55,3.82,84.51,
700,03:04.4,6.62,3.77,85.44,
725,03:11.0,6.61,3.78,85.41,
750,03:17.7,6.68,3.74,85.44,
775,03:24.3,6.61,3.78,86.18,
800,03:30.9,6.65,3.76,85.58,
825,03:37.6,6.7,3.73,85.56,
850,03:44.3,6.65,3.76,86.82,
875,03:51.0,6.7,3.73,85.17,
900,03:57.7,6.75,3.7,85.26,
925,04:04.4,6.69,3.74,86.12,
950,04:10.9,6.52,3.84,85.87,
975,04:17.5,6.53,3.83,85.56,
1000,04:25.5,7.99,3.13,83.33,
Av,,6.64,3.77,84.51,
