Race,,Dist,1000,Time,04:36.4
Split,Time,Secs,Vel,SR,
25,6.5,6.5,3.85,80.54,
50,13.11,6.61,3.78,78.07,
75,19.91,6.8,3.67,75.47,
100,26.81,6.9,3.62,75.35,
125,33.64,6.83,3.66,76.5,
150,40.42,6.78,3.69,75.12,
175,47.34,6.92,3.61,73.96,
200,54.27,6.93,3.61,76.78,
225,01:01.2,6.89,3.63,74.65,
250,01:08.0,6.86,3.64,75.95,
275,01:14.9,6.83,3.66,75.4,
300,01:21.7,6.85,3.65,75.71,
325,01:28.6,6.85,3.65,76.5,
350,01:35.4,6.81,3.67,74.88,
375,01:42.2,6.83,3.66,74.6,
400,01:49.0,6.83,3.66,75.35,
425,01:55.9,6.89,3.63,75.35,
450,02:02.8,6.9,3.62,75.81,
475,02:09.8,6.92,3.61,75.35,
500,02:16.5,6.78,3.69,76.56,
525,02:23.2,6.71,3.73,76.64,
550,02:30.1,6.89,3.63,76.68,
575,02:37.0,6.91,3.62,76.43,
600,02:43.9,6.91,3.62,75.95,
625,02:50.8,6.85,3.65,75.13,
650,02:57.7,6.9,3.62,74.53,
675,03:04.5,6.79,3.68,75.95,
700,03:11.2,6.73,3.71,77.67,
725,03:17.9,6.73,3.72,77.05,
750,03:24.7,6.78,3.69,76.64,
775,03:31.5,6.79,3.68,75.83,
800,03:38.3,6.8,3.67,76.19,
825,03:45.1,6.73,3.71,76.09,
850,03:51.9,6.81,3.67,75.83,
875,03:58.7,6.89,3.63,76.19,
900,04:05.6,6.85,3.65,75.4,
925,04:12.4,6.83,3.66,75.47,
950,04:19.3,6.86,3.64,75.13,
975,04:26.3,7.02,3.56,74.65,
1000,04:36.4,10.07,2.48,0,
Av,,6.91,3.63,74.03,
